type_of_livestock,region,year,value
Camel,Govi-Altai,2014,32.76
Camel,Govi-Altai,2013,30.39
Camel,Govi-Altai,2012,28.17
Camel,Govi-Altai,2011,25.24
Camel,Govi-Altai,2010,24.34
Camel,Govi-Altai,2009,26.88
Camel,Govi-Altai,2008,27.0
Camel,Govi-Altai,2007,27.33
Camel,Govi-Altai,2006,26.02
Camel,Govi-Altai,2005,24.96
Camel,Govi-Altai,2004,24.46
Camel,Govi-Altai,2003,23.87
Camel,Govi-Altai,2002,22.29
Camel,Govi-Altai,2001,28.28
Camel,Govi-Altai,2000,31.82
Camel,Govi-Altai,1999,34.45
Camel,Govi-Altai,1998,35.3
Camel,Govi-Altai,1997,36.89
Camel,Govi-Altai,1996,38.58
Camel,Govi-Altai,1995,40.25
Camel,Govi-Altai,1994,39.62
Camel,Govi-Altai,1993,39.13
Camel,Govi-Altai,1992,43.3
Camel,Govi-Altai,1991,47.61
Camel,Govi-Altai,1990,52.08
Camel,Govi-Altai,1989,53.31
Camel,Govi-Altai,1988,52.91
Camel,Govi-Altai,1987,52.21
Camel,Govi-Altai,1986,50.93
Camel,Govi-Altai,1985,51.16
Camel,Govi-Altai,1984,50.6
Camel,Govi-Altai,1983,51.47
Camel,Govi-Altai,1982,53.32
Camel,Govi-Altai,1981,54.63
Camel,Govi-Altai,1980,54.83
Camel,Govi-Altai,1979,54.32
Camel,Govi-Altai,1978,54.32
Camel,Govi-Altai,1977,55.47
Camel,Govi-Altai,1976,54.51
Camel,Govi-Altai,1975,54.19
Camel,Govi-Altai,1974,53.84
Camel,Govi-Altai,1973,53.58
Camel,Govi-Altai,1972,52.91
Camel,Govi-Altai,1971,52.72
Camel,Govi-Altai,1970,51.62
Camel,Zavkhan,2025,8.83
Camel,Zavkhan,2024,9.02
Camel,Zavkhan,2023,8.69
Camel,Zavkhan,2022,8.7
Camel,Zavkhan,2021,8.27
Camel,Zavkhan,2020,8.11
Camel,Zavkhan,2019,8.02
Camel,Zavkhan,2018,7.75
Camel,Zavkhan,2017,7.49
Camel,Zavkhan,2016,6.92
Camel,Zavkhan,2015,6.72
Camel,Zavkhan,2014,6.56
Camel,Zavkhan,2013,6.29
Camel,Zavkhan,2012,6.35
Camel,Zavkhan,2011,6.17
Camel,Zavkhan,2010,5.83
Camel,Zavkhan,2009,6.58
Camel,Zavkhan,2008,6.61
Camel,Zavkhan,2007,6.85
Camel,Zavkhan,2006,6.59
Camel,Zavkhan,2005,6.27
Camel,Zavkhan,2004,6.43
Camel,Zavkhan,2003,7.12
Camel,Zavkhan,2002,7.05
Camel,Zavkhan,2001,7.87
Camel,Zavkhan,2000,8.74
Camel,Zavkhan,1999,10.84
Camel,Zavkhan,1998,11.14
Camel,Zavkhan,1997,10.8
Camel,Zavkhan,1996,11.14
Camel,Zavkhan,1995,11.57
Camel,Zavkhan,1994,11.29
Camel,Zavkhan,1993,10.58
Camel,Zavkhan,1992,11.59
Camel,Zavkhan,1991,12.65
Camel,Zavkhan,1990,15.28
Camel,Zavkhan,1989,15.42
Camel,Zavkhan,1988,15.23
Camel,Zavkhan,1987,14.8
Camel,Zavkhan,1986,14.55
Camel,Zavkhan,1985,14.32
Camel,Zavkhan,1984,14.75
Camel,Zavkhan,1983,15.19
Camel,Zavkhan,1982,15.94
Camel,Zavkhan,1981,16.41
Camel,Zavkhan,1980,16.89
Camel,Zavkhan,1979,17.35
Camel,Zavkhan,1978,17.75
Camel,Zavkhan,1977,18.29
Camel,Zavkhan,1976,19.48
Camel,Zavkhan,1975,19.91
Camel,Zavkhan,1974,20.59
Camel,Zavkhan,1973,21.42
Camel,Zavkhan,1972,21.78
Camel,Zavkhan,1971,22.72
Camel,Zavkhan,1970,20.87
Camel,Uvs,2025,25.41
Camel,Uvs,2024,26.44
Camel,Uvs,2023,25.88
Camel,Uvs,2022,27.23
Camel,Uvs,2021,26.36
Camel,Uvs,2020,25.5
Camel,Uvs,2019,25.64
Camel,Uvs,2018,25.15
Camel,Uvs,2017,23.52
Camel,Uvs,2016,21.91
Camel,Uvs,2015,20.54
Camel,Uvs,2014,19.51
Camel,Uvs,2013,17.89
Camel,Uvs,2012,16.93
Camel,Uvs,2011,15.45
Camel,Uvs,2010,14.52
Camel,Uvs,2009,15.92
Camel,Uvs,2008,16.05
Camel,Uvs,2007,16.54
Camel,Uvs,2006,16.14
Camel,Uvs,2005,15.75
Camel,Uvs,2004,15.84
Camel,Uvs,2003,15.56
Camel,Uvs,2002,14.84
Camel,Uvs,2001,16.76
Camel,Uvs,2000,18.24
Camel,Uvs,1999,22.7
Camel,Uvs,1998,24.33
Camel,Uvs,1997,24.05
Camel,Uvs,1996,24.19
Camel,Uvs,1995,24.73
Camel,Uvs,1994,25.25
Camel,Uvs,1993,26.11
Camel,Uvs,1992,28.69
Camel,Uvs,1991,34.94
Camel,Uvs,1990,40.44
Camel,Uvs,1989,41.83
Camel,Uvs,1988,41.71
Camel,Uvs,1987,41.03
Camel,Uvs,1986,40.51
Camel,Uvs,1985,39.61
Camel,Uvs,1984,38.74
Camel,Uvs,1983,38.38
Camel,Uvs,1982,39.48
Camel,Uvs,1981,39.08
Camel,Uvs,1980,39.17
Camel,Uvs,1979,38.95
Camel,Uvs,1978,37.97
Camel,Uvs,1977,38.0
Camel,Uvs,1976,38.24
Camel,Uvs,1975,39.42
Camel,Uvs,1974,40.12
Camel,Uvs,1973,40.94
Camel,Uvs,1972,40.34
Camel,Uvs,1971,41.73
Camel,Uvs,1970,41.39
Camel,Khovd,2025,35.8
Camel,Khovd,2024,35.02
Camel,Khovd,2023,30.72
Camel,Khovd,2022,29.56
Camel,Khovd,2021,27.64
Camel,Khovd,2020,25.69
Camel,Khovd,2019,25.82
Camel,Khovd,2018,25.35
Camel,Khovd,2017,25.66
Camel,Khovd,2016,23.91
Camel,Khovd,2015,21.84
Camel,Khovd,2014,20.63
Camel,Khovd,2013,18.87
Camel,Khovd,2012,18.63
Camel,Khovd,2011,16.79
Camel,Khovd,2010,16.34
Camel,Khovd,2009,17.65
Camel,Khovd,2008,17.7
Camel,Khovd,2007,18.07
Camel,Khovd,2006,17.6
Camel,Khovd,2005,16.9
Camel,Khovd,2004,16.57
Camel,Khovd,2003,16.87
Camel,Khovd,2002,16.77
Camel,Khovd,2001,19.62
Camel,Khovd,2000,23.04
Camel,Khovd,1999,24.96
Camel,Khovd,1998,24.89
Camel,Khovd,1997,25.98
Camel,Khovd,1996,27.69
Camel,Khovd,1995,29.11
Camel,Khovd,1994,28.3
Camel,Khovd,1993,27.55
Camel,Khovd,1992,28.36
Camel,Khovd,1991,32.25
Camel,Khovd,1990,37.24
Camel,Khovd,1989,37.64
Camel,Khovd,1988,38.1
Camel,Khovd,1987,37.51
Camel,Khovd,1986,37.34
Camel,Khovd,1985,37.29
Camel,Khovd,1984,36.68
Camel,Khovd,1983,38.3
Camel,Khovd,1982,39.97
Camel,Khovd,1981,41.5
Camel,Khovd,1980,42.15
Camel,Khovd,1979,42.52
Camel,Khovd,1978,41.93
Camel,Khovd,1977,42.42
Camel,Khovd,1976,43.06
Camel,Khovd,1975,42.76
Camel,Khovd,1974,42.65
Camel,Khovd,1973,42.43
Camel,Khovd,1972,42.03
Camel,Khovd,1971,41.49
Camel,Khovd,1970,40.66
Camel,Northern region,2025,5.1
Camel,Northern region,2024,4.86
Camel,Northern region,2023,4.58
Camel,Northern region,2022,4.16
Camel,Northern region,2021,3.91
Camel,Northern region,2020,3.77
Camel,Northern region,2019,3.91
Camel,Northern region,2018,3.72
Camel,Northern region,2017,3.6
Camel,Northern region,2016,3.44
Camel,Northern region,2015,3.24
Camel,Northern region,2014,3.25
Camel,Northern region,2013,3.19
Camel,Northern region,2012,3.33
Camel,Northern region,2011,3.22
Camel,Northern region,2010,3.32
Camel,Northern region,2009,3.38
Camel,Northern region,2008,2.95
Camel,Northern region,2007,2.85
Camel,Northern region,2006,2.94
Camel,Northern region,2005,2.9
Camel,Northern region,2004,3.28
Camel,Northern region,2003,3.72
Camel,Northern region,2002,4.01
Camel,Northern region,2001,4.41
Camel,Northern region,2000,5.68
Camel,Northern region,1999,6.46
Camel,Northern region,1998,6.45
Camel,Northern region,1997,6.52
Camel,Northern region,1996,6.53
Camel,Northern region,1995,6.74
Camel,Northern region,1994,6.87
Camel,Northern region,1993,7.09
Camel,Northern region,1992,8.67
Camel,Northern region,1991,10.0
Camel,Northern region,1990,11.54
Camel,Northern region,1989,11.39
Camel,Northern region,1988,11.09
Camel,Northern region,1987,10.87
Camel,Northern region,1986,10.78
Camel,Northern region,1985,10.82
Camel,Northern region,1984,10.89
Camel,Northern region,1983,10.9
Camel,Northern region,1982,11.15
Camel,Northern region,1981,10.78
Camel,Northern region,1980,10.61
Camel,Northern region,1979,11.2
Camel,Northern region,1978,10.58
Camel,Northern region,1977,10.38
Camel,Northern region,1976,10.92
Camel,Northern region,1975,11.8
Camel,Northern region,1974,11.96
Camel,Northern region,1973,11.84
Camel,Northern region,1972,12.2
Camel,Northern region,1971,12.51
Camel,Northern region,1970,12.62
Camel,Bulgan,2025,2.57
Camel,Bulgan,2024,2.29
Camel,Bulgan,2023,2.03
Camel,Bulgan,2022,1.57
Camel,Bulgan,2021,1.49
Camel,Bulgan,2020,1.43
Camel,Bulgan,2019,1.45
Camel,Bulgan,2018,1.38
Camel,Bulgan,2017,1.36
Camel,Bulgan,2016,1.31
Camel,Bulgan,2015,1.22
Camel,Bulgan,2014,1.24
Camel,Bulgan,2013,1.13
Camel,Bulgan,2012,1.04
Camel,Bulgan,2011,0.95
Camel,Bulgan,2010,0.85
Camel,Bulgan,2009,0.8
Camel,Bulgan,2008,0.49
Camel,Bulgan,2007,0.39
Camel,Bulgan,2006,0.36
Camel,Bulgan,2005,0.38
Camel,Bulgan,2004,0.46
Camel,Bulgan,2003,0.57
Camel,Bulgan,2002,0.74
Camel,Bulgan,2001,0.93
Camel,Bulgan,2000,0.95
Camel,Bulgan,1999,1.02
Camel,Bulgan,1998,1.0
Camel,Bulgan,1997,1.1
Camel,Bulgan,1996,1.12
Camel,Bulgan,1995,1.3
Camel,Bulgan,1994,1.47
Camel,Bulgan,1993,1.81
Camel,Bulgan,1992,3.06
Camel,Bulgan,1991,3.66
Camel,Bulgan,1990,4.39
Camel,Bulgan,1989,4.35
Camel,Bulgan,1988,4.18
Camel,Bulgan,1987,4.05
Camel,Bulgan,1986,4.04
Camel,Bulgan,1985,4.06
Camel,Bulgan,1984,4.17
Camel,Bulgan,1983,4.14
Camel,Bulgan,1982,4.28
Camel,Bulgan,1981,4.15
Camel,Bulgan,1980,4.11
Camel,Bulgan,1979,4.11
Camel,Bulgan,1978,4.01
Camel,Bulgan,1977,3.73
Camel,Bulgan,1976,3.89
Camel,Bulgan,1975,4.1
Camel,Bulgan,1974,4.04
Camel,Bulgan,1973,3.88
Camel,Bulgan,1972,4.05
Camel,Bulgan,1971,4.15
Camel,Bulgan,1970,4.12
Camel,Orkhon,2025,0.1
Camel,Orkhon,2024,0.08
Camel,Orkhon,2023,0.08
Camel,Orkhon,2022,0.08
Camel,Orkhon,2021,0.06
Camel,Orkhon,2020,0.06
Camel,Orkhon,2019,0.07
Camel,Orkhon,2018,0.06
Camel,Orkhon,2017,0.04
Camel,Orkhon,2016,0.04
Camel,Orkhon,2015,0.02
Camel,Orkhon,2014,0.06
Camel,Orkhon,2013,0.14
Camel,Orkhon,2012,0.18
Camel,Orkhon,2011,0.17
Camel,Orkhon,2010,0.18
Camel,Orkhon,2009,0.17
Camel,Orkhon,2008,0.17
Camel,Orkhon,2007,0.11
Camel,Orkhon,2006,0.12
Camel,Orkhon,2005,0.08
Camel,Orkhon,2004,0.09
Camel,Orkhon,2003,0.11
Camel,Orkhon,2002,0.12
Camel,Orkhon,2001,0.11
Camel,Orkhon,2000,0.1
Camel,Orkhon,1999,0.1
Camel,Orkhon,1998,0.05
Camel,Orkhon,1997,0.06
Camel,Orkhon,1996,0.04
Camel,Orkhon,1995,0.04
Camel,Orkhon,1994,0.01
Camel,Orkhon,1993,0.0
Camel,Orkhon,1992,0.01
Camel,Orkhon,1991,
Camel,Orkhon,1990,
Camel,Orkhon,1989,
Camel,Orkhon,1988,
Camel,Orkhon,1987,
Camel,Orkhon,1986,
Camel,Orkhon,1985,
Camel,Orkhon,1984,
Camel,Orkhon,1983,
Camel,Orkhon,1982,
Camel,Orkhon,1981,
Camel,Orkhon,1980,
Camel,Orkhon,1979,0.6
Camel,Orkhon,1978,
Camel,Orkhon,1977,
Camel,Orkhon,1976,
Camel,Orkhon,1975,
Camel,Orkhon,1974,
Camel,Orkhon,1973,
Camel,Orkhon,1972,
Camel,Orkhon,1971,
Camel,Orkhon,1970,
Camel,Khuvsgul,2025,2.44
Camel,Khuvsgul,2024,2.49
Camel,Khuvsgul,2023,2.47
Camel,Khuvsgul,2022,2.51
Camel,Khuvsgul,2021,2.35
Camel,Khuvsgul,2020,2.28
Camel,Khuvsgul,2019,2.39
Camel,Khuvsgul,2018,2.29
Camel,Khuvsgul,2017,2.2
Camel,Khuvsgul,2016,2.1
Camel,Khuvsgul,2015,2.0
Camel,Khuvsgul,2014,1.95
Camel,Khuvsgul,2013,1.92
Camel,Khuvsgul,2012,2.1
Camel,Khuvsgul,2011,2.1
Camel,Khuvsgul,2010,2.29
Camel,Khuvsgul,2009,2.41
Camel,Khuvsgul,2008,2.29
Camel,Khuvsgul,2007,2.35
Camel,Khuvsgul,2006,2.46
Camel,Khuvsgul,2005,2.44
Camel,Khuvsgul,2004,2.73
Camel,Khuvsgul,2003,3.04
Camel,Khuvsgul,2002,3.15
Camel,Khuvsgul,2001,3.37
Camel,Khuvsgul,2000,4.63
Camel,Khuvsgul,1999,5.34
Camel,Khuvsgul,1998,5.4
Camel,Khuvsgul,1997,5.36
Camel,Khuvsgul,1996,5.37
Camel,Khuvsgul,1995,5.4
Camel,Khuvsgul,1994,5.39
Camel,Khuvsgul,1993,5.28
Camel,Khuvsgul,1992,5.6
Camel,Khuvsgul,1991,6.34
Camel,Khuvsgul,1990,7.15
Camel,Khuvsgul,1989,7.04
Camel,Khuvsgul,1988,6.91
Camel,Khuvsgul,1987,6.82
Camel,Khuvsgul,1986,6.74
Camel,Khuvsgul,1985,6.76
Camel,Khuvsgul,1984,6.72
Camel,Khuvsgul,1983,6.76
Camel,Khuvsgul,1982,6.87
Camel,Khuvsgul,1981,6.63
Camel,Khuvsgul,1980,6.5
Camel,Khuvsgul,1979,6.49
Camel,Khuvsgul,1978,6.57
Camel,Khuvsgul,1977,6.65
Camel,Khuvsgul,1976,7.03
Camel,Khuvsgul,1975,7.7
Camel,Khuvsgul,1974,7.92
Camel,Khuvsgul,1973,7.96
Camel,Khuvsgul,1972,8.15
Camel,Khuvsgul,1971,8.36
Camel,Khuvsgul,1970,8.5
Camel,Central region,2025,4.79
Camel,Central region,2024,4.52
Camel,Central region,2023,4.71
Camel,Central region,2022,4.58
Camel,Central region,2021,4.22
Camel,Central region,2020,4.13
Camel,Central region,2019,4.11
Camel,Central region,2018,4.04
Camel,Central region,2017,4.07
Camel,Central region,2016,4.01
Camel,Central region,2015,3.69
Camel,Central region,2014,3.51
Camel,Central region,2013,3.42
Camel,Central region,2012,3.5
Camel,Central region,2011,3.97
Camel,Central region,2010,3.74
Camel,Central region,2009,3.72
Camel,Central region,2008,3.54
Camel,Central region,2007,2.95
Camel,Central region,2006,2.94
Camel,Central region,2005,2.69
Camel,Central region,2004,2.98
Camel,Central region,2003,3.31
Camel,Central region,2002,3.63
Camel,Central region,2001,3.62
Camel,Central region,2000,4.45
Camel,Central region,1999,4.67
Camel,Central region,1998,4.57
Camel,Central region,1997,4.49
Camel,Central region,1996,4.57
Camel,Central region,1995,4.68
Camel,Central region,1994,4.55
Camel,Central region,1993,5.07
Camel,Central region,1992,5.94
Camel,Central region,1991,7.18
Camel,Central region,1990,9.81
Camel,Central region,1989,9.98
Camel,Central region,1988,9.64
Camel,Central region,1987,9.57
Camel,Central region,1986,9.72
Camel,Central region,1985,9.9
Camel,Central region,1984,10.35
Camel,Central region,1983,11.08
Camel,Central region,1982,10.94
Camel,Central region,1981,10.64
Camel,Central region,1980,10.53
Camel,Central region,1979,12.17
Camel,Central region,1978,9.9
Camel,Central region,1977,9.77
Camel,Central region,1976,10.59
Camel,Central region,1975,11.18
Camel,Central region,1974,10.99
Camel,Central region,1973,10.73
Camel,Central region,1972,11.09
Camel,Central region,1971,11.13
Camel,Central region,1970,11.17
Camel,Darkhan-Uul,2025,0.01
Camel,Darkhan-Uul,2024,0.02
Camel,Darkhan-Uul,2023,0.01
Camel,Darkhan-Uul,2022,0.05
Camel,Darkhan-Uul,2021,0.09
Camel,Darkhan-Uul,2020,0.07
Camel,Darkhan-Uul,2019,0.06
Camel,Darkhan-Uul,2018,0.06
Camel,Darkhan-Uul,2017,0.04
Camel,Darkhan-Uul,2016,0.1
Camel,Darkhan-Uul,2015,0.07
Camel,Darkhan-Uul,2014,0.09
Camel,Darkhan-Uul,2013,0.19
Camel,Darkhan-Uul,2012,0.43
Camel,Darkhan-Uul,2011,0.51
Camel,Darkhan-Uul,2010,0.72
Camel,Darkhan-Uul,2009,0.44
Camel,Darkhan-Uul,2008,0.5
Camel,Darkhan-Uul,2007,0.38
Camel,Darkhan-Uul,2006,0.34
Camel,Darkhan-Uul,2005,0.1
Camel,Darkhan-Uul,2004,0.04
Camel,Darkhan-Uul,2003,0.04
Camel,Darkhan-Uul,2002,0.13
Camel,Darkhan-Uul,2001,0.1
Camel,Darkhan-Uul,2000,0.15
Camel,Darkhan-Uul,1999,0.11
Camel,Darkhan-Uul,1998,0.09
Camel,Darkhan-Uul,1997,0.05
Camel,Darkhan-Uul,1996,0.03
Camel,Darkhan-Uul,1995,0.04
Camel,Darkhan-Uul,1994,0.05
Camel,Darkhan-Uul,1993,0.04
Camel,Darkhan-Uul,1992,0.05
Camel,Darkhan-Uul,1991,0.05
Camel,Darkhan-Uul,1990,0.03
Camel,Darkhan-Uul,1989,0.05
Camel,Darkhan-Uul,1988,
Camel,Darkhan-Uul,1987,
Camel,Darkhan-Uul,1986,
Camel,Darkhan-Uul,1985,
Camel,Darkhan-Uul,1984,
Camel,Darkhan-Uul,1983,
Camel,Darkhan-Uul,1982,
Camel,Darkhan-Uul,1981,
Camel,Darkhan-Uul,1980,
Camel,Darkhan-Uul,1979,2.0
Camel,Darkhan-Uul,1978,
Camel,Darkhan-Uul,1977,
Camel,Darkhan-Uul,1976,
Camel,Darkhan-Uul,1975,
Camel,Darkhan-Uul,1974,
Camel,Darkhan-Uul,1973,
Camel,Darkhan-Uul,1972,
Camel,Darkhan-Uul,1971,
Camel,Darkhan-Uul,1970,
Camel,Selenge,2025,0.69
Camel,Selenge,2024,0.61
Camel,Selenge,2023,0.59
Camel,Selenge,2022,0.55
Camel,Selenge,2021,0.47
Camel,Selenge,2020,0.43
Camel,Selenge,2019,0.47
Camel,Selenge,2018,0.48
Camel,Selenge,2017,0.51
Camel,Selenge,2016,0.52
Camel,Selenge,2015,0.48
Camel,Selenge,2014,0.51
Camel,Selenge,2013,0.5
Camel,Selenge,2012,0.62
Camel,Selenge,2011,0.59
Camel,Selenge,2010,0.79
Camel,Selenge,2009,0.69
Camel,Selenge,2008,0.66
Camel,Selenge,2007,0.47
Camel,Selenge,2006,0.46
Camel,Selenge,2005,0.41
Camel,Selenge,2004,0.52
Camel,Selenge,2003,0.69
Camel,Selenge,2002,0.78
Camel,Selenge,2001,0.66
Camel,Selenge,2000,0.69
Camel,Selenge,1999,0.4
Camel,Selenge,1998,0.39
Camel,Selenge,1997,0.37
Camel,Selenge,1996,0.35
Camel,Selenge,1995,0.3
Camel,Selenge,1994,0.27
Camel,Selenge,1993,0.28
Camel,Selenge,1992,0.29
Camel,Selenge,1991,0.27
Camel,Selenge,1990,0.26
Camel,Selenge,1989,0.26
Camel,Selenge,1988,0.23
Camel,Selenge,1987,0.21
Camel,Selenge,1986,0.2
Camel,Selenge,1985,0.2
Camel,Selenge,1984,0.21
Camel,Selenge,1983,0.21
Camel,Selenge,1982,0.2
Camel,Selenge,1981,0.19
Camel,Selenge,1980,0.18
Camel,Selenge,1979,0.17
Camel,Selenge,1978,0.17
Camel,Selenge,1977,0.19
Camel,Selenge,1976,0.15
Camel,Selenge,1975,0.16
Camel,Selenge,1974,0.16
Camel,Selenge,1973,0.15
Camel,Selenge,1972,0.16
Camel,Selenge,1971,0.16
Camel,Selenge,1970,0.15
Camel,Tuv,2025,4.09
Camel,Tuv,2024,3.89
Camel,Tuv,2023,4.11
Camel,Tuv,2022,3.98
Camel,Tuv,2021,3.66
Camel,Tuv,2020,3.63
Camel,Tuv,2019,3.58
Camel,Tuv,2018,3.5
Camel,Tuv,2017,3.53
Camel,Tuv,2016,3.39
Camel,Tuv,2015,3.13
Camel,Tuv,2014,2.91
Camel,Tuv,2013,2.74
Camel,Tuv,2012,2.44
Camel,Tuv,2011,2.87
Camel,Tuv,2010,2.23
Camel,Tuv,2009,2.59
Camel,Tuv,2008,2.38
Camel,Tuv,2007,2.1
Camel,Tuv,2006,2.14
Camel,Tuv,2005,2.18
Camel,Tuv,2004,2.42
Camel,Tuv,2003,2.58
Camel,Tuv,2002,2.72
Camel,Tuv,2001,2.86
Camel,Tuv,2000,3.61
Camel,Tuv,1999,4.16
Camel,Tuv,1998,4.09
Camel,Tuv,1997,4.07
Camel,Tuv,1996,4.19
Camel,Tuv,1995,4.34
Camel,Tuv,1994,4.23
Camel,Tuv,1993,4.75
Camel,Tuv,1992,5.6
Camel,Tuv,1991,6.86
Camel,Tuv,1990,9.52
Camel,Tuv,1989,9.67
Camel,Tuv,1988,9.41
Camel,Tuv,1987,9.36
Camel,Tuv,1986,9.52
Camel,Tuv,1985,9.7
Camel,Tuv,1984,10.14
Camel,Tuv,1983,10.87
Camel,Tuv,1982,10.74
Camel,Tuv,1981,10.45
Camel,Tuv,1980,10.35
Camel,Tuv,1979,10.0
Camel,Tuv,1978,9.73
Camel,Tuv,1977,9.58
Camel,Tuv,1976,10.44
Camel,Tuv,1975,11.02
Camel,Tuv,1974,10.83
Camel,Tuv,1973,10.58
Camel,Tuv,1972,10.93
Camel,Tuv,1971,10.97
Camel,Tuv,1970,11.02
Camel,Eastern region,2025,14.25
Camel,Eastern region,2024,14.87
Camel,Eastern region,2023,17.99
Camel,Eastern region,2022,18.57
Camel,Eastern region,2021,18.37
Camel,Eastern region,2020,17.86
Camel,Eastern region,2019,18.48
Camel,Eastern region,2018,18.58
Camel,Eastern region,2017,18.1
Camel,Eastern region,2016,17.39
Camel,Eastern region,2015,17.27
Camel,Eastern region,2014,16.99
Camel,Eastern region,2013,17.2
Camel,Eastern region,2012,18.43
Camel,Eastern region,2011,19.94
Camel,Eastern region,2010,20.55
Camel,Eastern region,2009,20.19
Camel,Eastern region,2008,19.97
Camel,Eastern region,2007,21.88
Camel,Eastern region,2006,22.38
Camel,Eastern region,2005,23.23
Camel,Eastern region,2004,24.45
Camel,Eastern region,2003,25.14
Camel,Eastern region,2002,24.86
Camel,Eastern region,2001,24.51
Camel,Eastern region,2000,25.42
Camel,Eastern region,1999,25.81
Camel,Eastern region,1998,25.43
Camel,Eastern region,1997,24.9
Camel,Eastern region,1996,24.54
Camel,Eastern region,1995,25.31
Camel,Eastern region,1994,26.9
Camel,Eastern region,1993,23.68
Camel,Eastern region,1992,30.38
Camel,Eastern region,1991,34.46
Camel,Eastern region,1990,39.15
Camel,Eastern region,1989,40.92
Camel,Eastern region,1988,40.38
Camel,Eastern region,1987,40.17
Camel,Eastern region,1986,41.83
Camel,Eastern region,1985,42.46
Camel,Eastern region,1984,43.36
Camel,Eastern region,1983,43.89
Camel,Eastern region,1982,45.07
Camel,Eastern region,1981,47.46
Camel,Eastern region,1980,45.78
Camel,Eastern region,1979,49.02
Camel,Eastern region,1978,48.35
Camel,Eastern region,1977,47.01
Camel,Eastern region,1976,48.3
Camel,Eastern region,1975,48.97
Camel,Eastern region,1974,48.0
