product,date,price
"Butter cream, Sain zuuhii, 450 g",2024-04-08,8475.0
"Milk, fresh, not pasteurised, l",2024-04-01,3869.0
"Milk, pasteurised, l",2024-04-01,4445.0
"Milk, pasteurised, 500 g",2024-04-01,2245.0
"Butter cream, Sain zuuhii, 450 g",2024-04-01,8475.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-04-01,4045.0
"Milk, pasteurised, 500 g",2024-03-25,2245.0
"Butter cream, Sain zuuhii, 450 g",2024-03-25,8475.0
"Milk, fresh, not pasteurised, l",2024-03-25,3869.0
"Milk, pasteurised, l",2024-03-25,4445.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-03-25,4045.0
"Milk, pasteurised, 500 g",2024-03-18,2245.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-03-18,4045.0
"Milk, fresh, not pasteurised, l",2024-03-18,3869.0
"Butter cream, Sain zuuhii, 450 g",2024-03-18,8432.0
"Milk, pasteurised, l",2024-03-18,4445.0
"Milk, fresh, not pasteurised, l",2024-03-11,3869.0
"Milk, pasteurised, l",2024-03-11,4445.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-03-11,4045.0
"Milk, pasteurised, 500 g",2024-03-11,2245.0
"Butter cream, Sain zuuhii, 450 g",2024-03-11,8163.0
"Butter cream, Sain zuuhii, 450 g",2024-03-04,8163.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-03-04,4045.0
"Milk, pasteurised, 500 g",2024-03-04,2245.0
"Milk, pasteurised, l",2024-03-04,4445.0
"Milk, fresh, not pasteurised, l",2024-03-04,3869.0
"Milk, pasteurised, 500 g",2024-02-26,2245.0
"Milk, pasteurised, l",2024-02-26,4445.0
"Milk, fresh, not pasteurised, l",2024-02-26,3869.0
