Indicator,Station location,Month,value
 Maximum temperature, Khatgal,2019-09,25.0
 Maximum temperature, Khatgal,2019-08,24.2
 Maximum temperature, Khatgal,2019-07,23.1
 Maximum temperature, Khatgal,2019-06,25.5
 Maximum temperature, Khatgal,2019-05,22.8
 Maximum temperature, Khatgal,2019-04,14.7
 Maximum temperature, Khatgal,2019-03,7.7
 Maximum temperature, Khatgal,2019-02,-1.5
 Maximum temperature, Khatgal,2019-01,-7.2
 Maximum temperature, Khatgal,2018-12,0.0
 Maximum temperature, Khatgal,2018-11,4.2
 Maximum temperature, Khatgal,2018-10,17.4
 Maximum temperature, Khatgal,2018-09,18.7
 Maximum temperature, Khatgal,2018-08,22.9
 Maximum temperature, Khatgal,2018-07,25.2
 Maximum temperature, Khatgal,2018-06,28.6
 Maximum temperature, Khatgal,2018-05,27.2
 Maximum temperature, Khatgal,2018-04,23.2
 Maximum temperature, Khatgal,2018-03,14.2
 Maximum temperature, Khatgal,2018-02,-1.4
 Maximum temperature, Khatgal,2018-01,-8.9
 Maximum temperature, Khatgal,2017-12,-2.4
 Maximum temperature, Khatgal,2017-11,9.5
 Maximum temperature, Khatgal,2017-10,13.2
 Maximum temperature, Khatgal,2017-09,21.8
 Maximum temperature, Khatgal,2017-08,25.0
 Maximum temperature, Khatgal,2017-07,27.5
 Maximum temperature, Khatgal,2017-06,28.7
 Maximum temperature, Khatgal,2017-05,27.4
 Maximum temperature, Khatgal,2017-04,18.5
 Maximum temperature, Khatgal,2017-03,9.1
 Maximum temperature, Khatgal,2017-02,-0.5
 Maximum temperature, Khatgal,2017-01,-7.7
 Maximum temperature, Khatgal,2016-12,-2.8
 Maximum temperature, Khatgal,2016-11,5.2
 Maximum temperature, Khatgal,2016-10,12.9
 Maximum temperature, Khatgal,2016-09,21.0
 Maximum temperature, Khatgal,2016-08,28.6
 Maximum temperature, Khatgal,2016-07,28.0
 Maximum temperature, Khatgal,2016-06,23.0
 Maximum temperature, Khatgal,2016-05,20.6
 Maximum temperature, Khatgal,2016-04,12.6
 Maximum temperature, Khatgal,2016-03,10.7
 Maximum temperature, Khatgal,2016-02,2.6
 Maximum temperature, Khatgal,2016-01,-10.3
 Maximum temperature, Khatgal,2015-12,-3.4
 Maximum temperature, Khatgal,2015-11,10.2
 Maximum temperature, Khatgal,2015-10,17.0
 Maximum temperature, Khatgal,2015-09,23.3
 Maximum temperature, Khatgal,2015-08,31.5
 Maximum temperature, Khatgal,2015-07,28.0
 Maximum temperature, Khatgal,2015-06,28.0
 Maximum temperature, Khatgal,2015-05,24.0
 Maximum temperature, Khatgal,2015-04,22.0
 Maximum temperature, Khatgal,2015-03,12.4
 Maximum temperature, Khatgal,2015-02,1.0
 Maximum temperature, Khatgal,2015-01,-3.8
 Maximum temperature, Khatgal,2014-12,-8.8
 Maximum temperature, Khatgal,2014-11,0.2
 Maximum temperature, Khatgal,2014-10,12.3
 Maximum temperature, Khatgal,2014-09,27.6
 Maximum temperature, Khatgal,2014-08,25.8
 Maximum temperature, Khatgal,2014-07,27.4
 Maximum temperature, Khatgal,2014-06,23.7
 Maximum temperature, Khatgal,2014-05,25.6
 Maximum temperature, Khatgal,2014-04,17.0
 Maximum temperature, Khatgal,2014-03,9.4
 Maximum temperature, Khatgal,2014-02,0.5
 Maximum temperature, Khatgal,2014-01,-1.6
 Maximum temperature, Khatgal,2013-12,-4.0
 Maximum temperature, Khatgal,2013-11,6.2
 Maximum temperature, Khatgal,2013-10,16.0
 Maximum temperature, Khatgal,2013-09,22.2
 Maximum temperature, Khatgal,2013-08,23.0
 Maximum temperature, Khatgal,2013-07,23.5
 Maximum temperature, Khatgal,2013-06,23.5
 Maximum temperature, Khatgal,2013-05,25.8
 Maximum temperature, Khatgal,2013-04,16.9
 Maximum temperature, Khatgal,2013-03,6.8
 Maximum temperature, Khatgal,2013-02,-6.0
 Maximum temperature, Khatgal,2013-01,-6.9
 Maximum temperature, Khatgal,2012-12,-12.1
 Maximum temperature, Khatgal,2012-11,1.9
 Maximum temperature, Khatgal,2012-10,14.0
 Maximum temperature, Khatgal,2012-09,24.6
 Maximum temperature, Khatgal,2012-08,25.5
 Maximum temperature, Khatgal,2012-07,23.3
 Maximum temperature, Khatgal,2012-06,28.0
 Maximum temperature, Khatgal,2012-05,23.6
 Maximum temperature, Khatgal,2012-04,12.3
 Maximum temperature, Khatgal,2012-03,7.4
 Maximum temperature, Khatgal,2012-02,-10.5
 Maximum temperature, Khatgal,2012-01,-7.9
 Maximum temperature, Khatgal,2011-12,-7.9
 Maximum temperature, Khatgal,2011-11,5.0
 Maximum temperature, Khatgal,2011-10,16.3
 Maximum temperature, Khatgal,2011-09,22.1
 Maximum temperature, Khatgal,2011-08,27.7
 Maximum temperature, Khatgal,2011-07,31.5
 Maximum temperature, Khatgal,2011-06,23.0
 Maximum temperature, Khatgal,2011-05,20.4
 Maximum temperature, Khatgal,2011-04,19.6
 Maximum temperature, Khatgal,2011-03,7.7
 Maximum temperature, Khatgal,2011-02,-3.7
 Maximum temperature, Khatgal,2011-01,-12.3
 Maximum temperature, Khatgal,2010-12,1.0
 Maximum temperature, Khatgal,2010-11,5.3
 Maximum temperature, Khatgal,2010-10,19.6
 Maximum temperature, Khatgal,2010-09,25.8
 Maximum temperature, Khatgal,2010-08,27.3
 Maximum temperature, Khatgal,2010-07,27.0
 Maximum temperature, Khatgal,2010-06,29.2
 Maximum temperature, Khatgal,2010-05,25.3
 Maximum temperature, Khatgal,2010-04,21.8
 Maximum temperature, Khatgal,2010-03,0.2
 Maximum temperature, Khatgal,2010-02,-2.0
 Maximum temperature, Khatgal,2010-01,-7.0
 Maximum temperature, Khatgal,2009-12,-2.6
 Maximum temperature, Khatgal,2009-11,7.9
 Maximum temperature, Khatgal,2009-10,15.7
 Maximum temperature, Khatgal,2009-09,19.6
 Maximum temperature, Khatgal,2009-08,26.0
 Maximum temperature, Khatgal,2009-07,24.9
 Maximum temperature, Khatgal,2009-06,27.0
 Maximum temperature, Khatgal,2009-05,25.0
 Maximum temperature, Khatgal,2009-04,22.0
 Maximum temperature, Khatgal,2009-03,8.7
 Maximum temperature, Khatgal,2009-02,0.7
 Maximum temperature, Khatgal,2009-01,-5.0
 Maximum temperature, Khatgal,2008-12,-2.8
 Maximum temperature, Khatgal,2008-11,4.8
 Maximum temperature, Khatgal,2008-10,14.0
 Maximum temperature, Khatgal,2008-09,20.8
 Maximum temperature, Khatgal,2008-08,29.1
 Maximum temperature, Khatgal,2008-07,26.6
 Maximum temperature, Khatgal,2008-06,29.2
 Maximum temperature, Khatgal,2008-05,21.4
 Maximum temperature, Khatgal,2008-04,19.5
 Maximum temperature, Khatgal,2008-03,10.1
 Maximum temperature, Khatgal,2008-02,-0.7
 Maximum temperature, Khatgal,2008-01,-12.0
 Maximum temperature, Khatgal,2007-12,
 Maximum temperature, Khatgal,2007-11,
 Maximum temperature, Khatgal,2007-10,
 Maximum temperature, Khatgal,2007-09,
 Maximum temperature, Khatgal,2007-08,
 Maximum temperature, Khatgal,2007-07,
 Maximum temperature, Khatgal,2007-06,
 Maximum temperature, Khatgal,2007-05,
 Maximum temperature, Khatgal,2007-04,
 Maximum temperature, Khatgal,2007-03,
 Maximum temperature, Khatgal,2007-02,
 Maximum temperature, Khatgal,2007-01,
 Maximum temperature, Khatgal,2006-12,
 Maximum temperature, Khatgal,2006-11,
 Maximum temperature, Khatgal,2006-10,
 Maximum temperature, Khatgal,2006-09,
 Maximum temperature, Khatgal,2006-08,
 Maximum temperature, Khatgal,2006-07,
 Maximum temperature, Khatgal,2006-06,
 Maximum temperature, Khatgal,2006-05,
 Maximum temperature, Khatgal,2006-04,
 Maximum temperature, Khatgal,2006-03,
 Maximum temperature, Khatgal,2006-02,
 Maximum temperature, Khatgal,2006-01,
 Maximum temperature, Khatgal,2005-12,
 Maximum temperature, Khatgal,2005-11,
 Maximum temperature, Khatgal,2005-10,
 Maximum temperature, Khatgal,2005-09,
 Maximum temperature, Khatgal,2005-08,
 Maximum temperature, Khatgal,2005-07,
 Maximum temperature, Khatgal,2005-06,
 Maximum temperature, Khatgal,2005-05,
 Maximum temperature, Khatgal,2005-04,
 Maximum temperature, Khatgal,2005-03,
 Maximum temperature, Khatgal,2005-02,
 Maximum temperature, Khatgal,2005-01,
 Maximum temperature, Tsetserleg,2025-11,11.2
 Maximum temperature, Tsetserleg,2025-10,21.7
 Maximum temperature, Tsetserleg,2025-09,23.2
 Maximum temperature, Tsetserleg,2025-08,27.5
 Maximum temperature, Tsetserleg,2025-07,30.6
 Maximum temperature, Tsetserleg,2025-06,30.4
 Maximum temperature, Tsetserleg,2025-5,27.1
 Maximum temperature, Tsetserleg,2025-4,24.9
 Maximum temperature, Tsetserleg,2025-3,16.9
 Maximum temperature, Tsetserleg,2025-2,8.1
 Maximum temperature, Tsetserleg,2025-1,6.4
 Maximum temperature, Tsetserleg,2024-12,0.4
 Maximum temperature, Tsetserleg,2024-11,12.5
 Maximum temperature, Tsetserleg,2024-10,17.1
 Maximum temperature, Tsetserleg,2024-09,28.0
 Maximum temperature, Tsetserleg,2024-08,29.2
 Maximum temperature, Tsetserleg,2024-07,30.3
 Maximum temperature, Tsetserleg,2024-06,27.3
 Maximum temperature, Tsetserleg,2024-05,29.1
 Maximum temperature, Tsetserleg,2024-04,17.3
 Maximum temperature, Tsetserleg,2024-03,13.3
 Maximum temperature, Tsetserleg,2024-02,5.7
 Maximum temperature, Tsetserleg,2024-01,5.9
 Maximum temperature, Tsetserleg,2023-12,6.1
 Maximum temperature, Tsetserleg,2023-11,11.2
 Maximum temperature, Tsetserleg,2023-10,17.0
 Maximum temperature, Tsetserleg,2023-09,26.6
 Maximum temperature, Tsetserleg,2023-08,28.2
 Maximum temperature, Tsetserleg,2023-07,31.3
 Maximum temperature, Tsetserleg,2023-06,0.9
 Maximum temperature, Tsetserleg,2023-05,20.0
 Maximum temperature, Tsetserleg,2023-04,20.2
 Maximum temperature, Tsetserleg,2023-03,14.3
 Maximum temperature, Tsetserleg,2023-02,10.1
 Maximum temperature, Tsetserleg,2023-01,2.5
 Maximum temperature, Tsetserleg,2022-12,
 Maximum temperature, Tsetserleg,2022-11,11.4
 Maximum temperature, Tsetserleg,2022-10,16.4
 Maximum temperature, Tsetserleg,2022-09,29.8
 Maximum temperature, Tsetserleg,2022-08,28.1
 Maximum temperature, Tsetserleg,2022-07,30.3
 Maximum temperature, Tsetserleg,2022-06,33.1
 Maximum temperature, Tsetserleg,2022-05,25.8
 Maximum temperature, Tsetserleg,2022-04,20.3
 Maximum temperature, Tsetserleg,2022-03,11.7
 Maximum temperature, Tsetserleg,2022-02,3.4
 Maximum temperature, Tsetserleg,2022-01,2.8
 Maximum temperature, Tsetserleg,2021-12,7.3
 Maximum temperature, Tsetserleg,2021-11,8.5
 Maximum temperature, Tsetserleg,2021-10,16.4
 Maximum temperature, Tsetserleg,2021-09,22.2
 Maximum temperature, Tsetserleg,2021-08,25.8
 Maximum temperature, Tsetserleg,2021-07,28.2
 Maximum temperature, Tsetserleg,2021-06,29.0
 Maximum temperature, Tsetserleg,2021-05,26.5
 Maximum temperature, Tsetserleg,2021-04,18.3
 Maximum temperature, Tsetserleg,2021-03,14.9
 Maximum temperature, Tsetserleg,2021-02,12.5
 Maximum temperature, Tsetserleg,2021-01,3.6
 Maximum temperature, Tsetserleg,2020-12,-0.7
 Maximum temperature, Tsetserleg,2020-11,11.9
 Maximum temperature, Tsetserleg,2020-10,15.4
 Maximum temperature, Tsetserleg,2020-09,22.9
 Maximum temperature, Tsetserleg,2020-08,24.1
 Maximum temperature, Tsetserleg,2020-07,29.7
 Maximum temperature, Tsetserleg,2020-06,29.0
 Maximum temperature, Tsetserleg,2020-05,26.2
 Maximum temperature, Tsetserleg,2020-04,28.4
 Maximum temperature, Tsetserleg,2020-03,14.8
 Maximum temperature, Tsetserleg,2020-02,10.7
 Maximum temperature, Tsetserleg,2020-01,3.8
 Maximum temperature, Tsetserleg,2019-12,4.5
 Maximum temperature, Tsetserleg,2019-11,14.7
 Maximum temperature, Tsetserleg,2019-10,19.7
 Maximum temperature, Tsetserleg,2019-09,29.6
 Maximum temperature, Tsetserleg,2019-08,28.3
 Maximum temperature, Tsetserleg,2019-07,27.4
 Maximum temperature, Tsetserleg,2019-06,25.5
 Maximum temperature, Tsetserleg,2019-05,26.5
 Maximum temperature, Tsetserleg,2019-04,18.8
 Maximum temperature, Tsetserleg,2019-03,11.9
 Maximum temperature, Tsetserleg,2019-02,3.1
 Maximum temperature, Tsetserleg,2019-01,5.6
 Maximum temperature, Tsetserleg,2018-12,6.4
 Maximum temperature, Tsetserleg,2018-11,12.1
 Maximum temperature, Tsetserleg,2018-10,17.6
 Maximum temperature, Tsetserleg,2018-09,21.5
 Maximum temperature, Tsetserleg,2018-08,26.1
 Maximum temperature, Tsetserleg,2018-07,26.1
 Maximum temperature, Tsetserleg,2018-06,28.3
 Maximum temperature, Tsetserleg,2018-05,27.8
 Maximum temperature, Tsetserleg,2018-04,23.1
 Maximum temperature, Tsetserleg,2018-03,17.0
 Maximum temperature, Tsetserleg,2018-02,3.6
 Maximum temperature, Tsetserleg,2018-01,-1.1
 Maximum temperature, Tsetserleg,2017-12,3.3
 Maximum temperature, Tsetserleg,2017-11,13.9
 Maximum temperature, Tsetserleg,2017-10,21.1
 Maximum temperature, Tsetserleg,2017-09,25.4
 Maximum temperature, Tsetserleg,2017-08,25.9
 Maximum temperature, Tsetserleg,2017-07,33.9
 Maximum temperature, Tsetserleg,2017-06,33.3
 Maximum temperature, Tsetserleg,2017-05,29.0
 Maximum temperature, Tsetserleg,2017-04,21.0
 Maximum temperature, Tsetserleg,2017-03,14.4
 Maximum temperature, Tsetserleg,2017-02,3.3
 Maximum temperature, Tsetserleg,2017-01,1.0
 Maximum temperature, Tsetserleg,2016-12,6.8
 Maximum temperature, Tsetserleg,2016-11,15.9
 Maximum temperature, Tsetserleg,2016-10,18.1
 Maximum temperature, Tsetserleg,2016-09,24.3
 Maximum temperature, Tsetserleg,2016-08,33.5
 Maximum temperature, Tsetserleg,2016-07,34.0
 Maximum temperature, Tsetserleg,2016-06,25.3
 Maximum temperature, Tsetserleg,2016-05,24.5
 Maximum temperature, Tsetserleg,2016-04,16.8
 Maximum temperature, Tsetserleg,2016-03,14.5
 Maximum temperature, Tsetserleg,2016-02,8.7
 Maximum temperature, Tsetserleg,2016-01,-2.9
 Maximum temperature, Tsetserleg,2015-12,3.4
 Maximum temperature, Tsetserleg,2015-11,13.4
 Maximum temperature, Tsetserleg,2015-10,18.4
 Maximum temperature, Tsetserleg,2015-09,24.0
 Maximum temperature, Tsetserleg,2015-08,30.3
 Maximum temperature, Tsetserleg,2015-07,30.0
 Maximum temperature, Tsetserleg,2015-06,28.6
 Maximum temperature, Tsetserleg,2015-05,26.0
 Maximum temperature, Tsetserleg,2015-04,25.0
 Maximum temperature, Tsetserleg,2015-03,18.0
 Maximum temperature, Tsetserleg,2015-02,8.3
 Maximum temperature, Tsetserleg,2015-01,7.5
 Maximum temperature, Tsetserleg,2014-12,-0.5
 Maximum temperature, Tsetserleg,2014-11,11.3
 Maximum temperature, Tsetserleg,2014-10,17.4
 Maximum temperature, Tsetserleg,2014-09,28.1
 Maximum temperature, Tsetserleg,2014-08,30.2
 Maximum temperature, Tsetserleg,2014-07,29.5
 Maximum temperature, Tsetserleg,2014-06,25.6
 Maximum temperature, Tsetserleg,2014-05,29.5
 Maximum temperature, Tsetserleg,2014-04,21.0
 Maximum temperature, Tsetserleg,2014-03,13.1
 Maximum temperature, Tsetserleg,2014-02,6.3
 Maximum temperature, Tsetserleg,2014-01,7.2
 Maximum temperature, Tsetserleg,2013-12,3.2
 Maximum temperature, Tsetserleg,2013-11,12.5
 Maximum temperature, Tsetserleg,2013-10,20.4
 Maximum temperature, Tsetserleg,2013-09,24.6
 Maximum temperature, Tsetserleg,2013-08,23.9
 Maximum temperature, Tsetserleg,2013-07,29.2
 Maximum temperature, Tsetserleg,2013-06,27.6
 Maximum temperature, Tsetserleg,2013-05,24.9
 Maximum temperature, Tsetserleg,2013-04,20.7
 Maximum temperature, Tsetserleg,2013-03,14.0
 Maximum temperature, Tsetserleg,2013-02,0.5
 Maximum temperature, Tsetserleg,2013-01,3.0
 Maximum temperature, Tsetserleg,2012-12,-1.6
 Maximum temperature, Tsetserleg,2012-11,11.3
 Maximum temperature, Tsetserleg,2012-10,15.5
 Maximum temperature, Tsetserleg,2012-09,24.6
 Maximum temperature, Tsetserleg,2012-08,26.3
 Maximum temperature, Tsetserleg,2012-07,26.9
 Maximum temperature, Tsetserleg,2012-06,29.4
 Maximum temperature, Tsetserleg,2012-05,25.6
 Maximum temperature, Tsetserleg,2012-04,17.8
 Maximum temperature, Tsetserleg,2012-03,12.6
 Maximum temperature, Tsetserleg,2012-02,-1.1
 Maximum temperature, Tsetserleg,2012-01,-0.4
 Maximum temperature, Tsetserleg,2011-12,-1.7
 Maximum temperature, Tsetserleg,2011-11,11.4
 Maximum temperature, Tsetserleg,2011-10,18.5
 Maximum temperature, Tsetserleg,2011-09,22.4
 Maximum temperature, Tsetserleg,2011-08,28.6
 Maximum temperature, Tsetserleg,2011-07,29.9
 Maximum temperature, Tsetserleg,2011-06,26.2
 Maximum temperature, Tsetserleg,2011-05,24.0
 Maximum temperature, Tsetserleg,2011-04,21.7
 Maximum temperature, Tsetserleg,2011-03,10.8
 Maximum temperature, Tsetserleg,2011-02,3.9
 Maximum temperature, Tsetserleg,2011-01,-0.3
 Maximum temperature, Tsetserleg,2010-12,6.0
 Maximum temperature, Tsetserleg,2010-11,13.0
 Maximum temperature, Tsetserleg,2010-10,20.8
 Maximum temperature, Tsetserleg,2010-09,27.7
 Maximum temperature, Tsetserleg,2010-08,28.4
 Maximum temperature, Tsetserleg,2010-07,29.6
 Maximum temperature, Tsetserleg,2010-06,32.1
 Maximum temperature, Tsetserleg,2010-05,25.6
 Maximum temperature, Tsetserleg,2010-04,20.7
 Maximum temperature, Tsetserleg,2010-03,14.2
 Maximum temperature, Tsetserleg,2010-02,2.9
 Maximum temperature, Tsetserleg,2010-01,1.5
 Maximum temperature, Tsetserleg,2009-12,0.7
 Maximum temperature, Tsetserleg,2009-11,12.4
 Maximum temperature, Tsetserleg,2009-10,18.2
 Maximum temperature, Tsetserleg,2009-09,25.3
 Maximum temperature, Tsetserleg,2009-08,29.1
 Maximum temperature, Tsetserleg,2009-07,29.5
 Maximum temperature, Tsetserleg,2009-06,31.3
 Maximum temperature, Tsetserleg,2009-05,27.1
 Maximum temperature, Tsetserleg,2009-04,23.4
 Maximum temperature, Tsetserleg,2009-03,9.9
 Maximum temperature, Tsetserleg,2009-02,4.8
 Maximum temperature, Tsetserleg,2009-01,0.9
 Maximum temperature, Tsetserleg,2008-12,2.0
 Maximum temperature, Tsetserleg,2008-11,9.0
 Maximum temperature, Tsetserleg,2008-10,17.5
 Maximum temperature, Tsetserleg,2008-09,25.7
 Maximum temperature, Tsetserleg,2008-08,32.4
 Maximum temperature, Tsetserleg,2008-07,29.1
 Maximum temperature, Tsetserleg,2008-06,29.4
 Maximum temperature, Tsetserleg,2008-05,24.4
 Maximum temperature, Tsetserleg,2008-04,20.8
 Maximum temperature, Tsetserleg,2008-03,13.1
 Maximum temperature, Tsetserleg,2008-02,4.4
 Maximum temperature, Tsetserleg,2008-01,-3.6
 Maximum temperature, Tsetserleg,2007-12,2.3
 Maximum temperature, Tsetserleg,2007-11,14.4
 Maximum temperature, Tsetserleg,2007-10,19.2
 Maximum temperature, Tsetserleg,2007-09,23.0
 Maximum temperature, Tsetserleg,2007-08,29.8
 Maximum temperature, Tsetserleg,2007-07,33.1
 Maximum temperature, Tsetserleg,2007-06,32.9
 Maximum temperature, Tsetserleg,2007-05,27.0
 Maximum temperature, Tsetserleg,2007-04,18.6
 Maximum temperature, Tsetserleg,2007-03,11.4
 Maximum temperature, Tsetserleg,2007-02,10.0
 Maximum temperature, Tsetserleg,2007-01,5.0
 Maximum temperature, Tsetserleg,2006-12,3.2
 Maximum temperature, Tsetserleg,2006-11,12.5
 Maximum temperature, Tsetserleg,2006-10,20.0
 Maximum temperature, Tsetserleg,2006-09,26.0
 Maximum temperature, Tsetserleg,2006-08,26.4
 Maximum temperature, Tsetserleg,2006-07,30.1
 Maximum temperature, Tsetserleg,2006-06,23.9
 Maximum temperature, Tsetserleg,2006-05,23.8
 Maximum temperature, Tsetserleg,2006-04,19.8
 Maximum temperature, Tsetserleg,2006-03,15.4
 Maximum temperature, Tsetserleg,2006-02,8.7
 Maximum temperature, Tsetserleg,2006-01,-0.1
 Maximum temperature, Tsetserleg,2005-12,1.5
 Maximum temperature, Tsetserleg,2005-11,8.4
 Maximum temperature, Tsetserleg,2005-10,16.0
 Maximum temperature, Tsetserleg,2005-09,26.7
 Maximum temperature, Tsetserleg,2005-08,29.2
 Maximum temperature, Tsetserleg,2005-07,30.8
 Maximum temperature, Tsetserleg,2005-06,31.2
 Maximum temperature, Tsetserleg,2005-05,23.3
 Maximum temperature, Tsetserleg,2005-04,22.4
 Maximum temperature, Tsetserleg,2005-03,16.5
 Maximum temperature, Tsetserleg,2005-02,0.0
 Maximum temperature, Tsetserleg,2005-01,0.7
 Maximum temperature, Erdenet,2025-11,10.1
 Maximum temperature, Erdenet,2025-10,18.9
 Maximum temperature, Erdenet,2025-09,21.3
 Maximum temperature, Erdenet,2025-08,26.8
 Maximum temperature, Erdenet,2025-07,29.8
 Maximum temperature, Erdenet,2025-06,32.7
 Maximum temperature, Erdenet,2025-5,27.2
 Maximum temperature, Erdenet,2025-4,26.0
 Maximum temperature, Erdenet,2025-3,17.7
 Maximum temperature, Erdenet,2025-2,5.6
 Maximum temperature, Erdenet,2025-1,0.4
 Maximum temperature, Erdenet,2024-12,-1.7
 Maximum temperature, Erdenet,2024-11,9.0
 Maximum temperature, Erdenet,2024-10,17.8
 Maximum temperature, Erdenet,2024-09,27.8
 Maximum temperature, Erdenet,2024-08,28.1
 Maximum temperature, Erdenet,2024-07,29.4
 Maximum temperature, Erdenet,2024-06,28.4
 Maximum temperature, Erdenet,2024-05,28.1
 Maximum temperature, Erdenet,2024-04,19.8
 Maximum temperature, Erdenet,2024-03,12.2
 Maximum temperature, Erdenet,2024-02,5.8
 Maximum temperature, Erdenet,2024-01,3.0
